Structure Name,CIF ( XRD ref if no CIF),local structure,type,Q^n,1st coord neighbors,1st coord number,2nd coord neighbors,2nd coord number,Chemical Formula,Static/MAS,site_index,diso (ppm),etaQ,CQ (MHz),VASP diso (ppm) (Absolute),VASP etaQ,VASP CQ (MHz),CASTEP diso (absolute),CASEP diso (refed),CASTEP etaQ,CASTEP CQ (MHz),liq ref,NMR Sequence,Field,Reference(s),year of publish,First Authors,Bravais Lattice type,Space Group,Notes,,,,,
Pyrophyllite dehydroxylate,ICSD-30119,,,,O,5,,,Al2Si4O11,,0,29,0.6,10.5,241.9105,0.635,-11.396,518.61,36.80128028,0.59,-11.88,,,,0003-o04x/89/l l l 2-1405,1989,J.J.Fitzgerald,,,,,,,,
9Al2O3 2B2O3,COD_1545125,,,,O,[4],,,Al18B4O33,,4,71,0.45,9,278.65,0.407,8.724,481.12,76.73268645,0.42,9.639,,,,10.1016/0926-2040(95)00021-H,1995,D. Massiot,,,,,,,,
9Al2O3 2B2O3,COD_1545125,,,,O,[5],,,Al18B4O33,,6,52,0.06,6.773,261.46,0.04,6.673,500.35,56.25039942,0.03,7.221,,,,10.1016/0926-2040(95)00021-H,1995,D. Massiot,,,,,,,,
9Al2O3 2B2O3,COD_1545125,,,,O,[5],,,Al18B4O33,,8,44,0.7,7.94,253.22,0.709,6.977,510.08,45.88676693,0.82,6.753,,,,10.1016/0926-2040(95)00021-H,1995,D. Massiot,,,,,,,,
9Al2O3 2B2O3,COD_1545125,,,,O,[6],,,Al18B4O33,,0,8.6,0.4,5.967,221.78,0.4,-5.716,542.46,11.39813178,0.31,-5.676,,,,10.1016/0926-2040(95)00021-H,1995,D. Massiot,,,,,,,,
Chiolite,https://materialsproject.org/materials/mp-4752/#,,,,"F,F,F,F,F,F",[6],,,Na5Al3F14,MAS,12,-3,,6.5,210.4088,0.1679,6.3092,552.98,0.075889909,0.17,6.603,,,,American Mineralogist(August 1992) 77 (7-8): 718-724,1992,P.J. Dirken,Tetragonal,P 4/mnc,,,,,,
Chiolite,https://materialsproject.org/materials/mp-4752/#,,,,"F,F,F,F,F,F",[6],,,Na5Al3F14,MAS,10,-1,,8.2,207.9634,0,-5.0885,555.56,-2.523006625,0,-5.347,,,,American Mineralogist(August 1992) 77 (7-8): 718-724,1992,Peter J. Dirken,Tetragonal,P 4/mnc,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta-aluminum fluoride,https://materialsproject.org/materials/mp-559871/#,,,,"F,F,F,F,F,F",[6],,,AlF3,MAS,0,-12.5,,3.4,195.9232,0.1859,-1.307,563.75,-11.2783056,0.69,-1.296,,,,American Mineralogist(August 1992) 77 (7-8): 718-724,1992,Peter J. Dirken,,,,,,,,
Cryolite,https://materialsproject.org/materials/mp-3416/,,,,"F,F,F,F,F,F",,,,Na3AlF6,,6,1.4,,2,214.0924,0.7742,-0.885,543.75,10.024125,0.89,-0.9234,,,,American Mineralogist(August 1992) 77 (7-8): 718-724,1992,Peter J. Dirken,,,,,,,,
Elpasolite,https://materialsproject.org/materials/mp-6586/,,,,"F,F,F,F,F,F",,,,K2NaAlF6,,3,0.8,,1.4,214.542364,N/A,0,544.45,9.278539931,N/A,0.00E+00,,,,American Mineralogist(August 1992) 77 (7-8): 718-724,1992,Peter J. Dirken,,,,,,,,
Epidote,https://materialsproject.org/materials/mp-743780/,,,,,[6],,,"Ca2(Al, Fe)3(SiO4)3",,6,,0.34,4.6,220.4589,0.4044,6.3717,477.82,80.2475875,0.19,7.328,,,,"Nuclear magnetic resonance of27AI in epidote, Ca 2Al2(Fe,Al)Si3O12(OH)",1973,T. Tsang,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microcline,https://materialsproject.org/materials/mp-697670/,,,,"O,O,O,O",[4],,,KAlSi3O8,,2,,0.21,3.22,263.9023,0.4404,-3.154,501.15,55.70718744,0.48,-3.26,,,,"American Mineralogist, Volume 58, pages 748-755,1973",1973,S. Ghose,Triclinic,P1(bar),,,,,,
Berlinite,https://materialsproject.org/materials/mp-3955/#,,,,"O,O,O,O",[4],,,AlPO4,,0,,0.37,4.09,244.292,0.4045,4.0846,520.83,34.47931534,0.39,4.179,,,,"American Mineralogist, Volume 58, pages 748-755,1973",1973,S. Ghose,Trigonal,"P3_121, P3_221",,,,,,
Gahnite,https://materialsproject.org/materials/mp-2908/,,,,,[6],,,ZnAl2O4,,0,,0,3.68,232.6478,0.0002,-3.9286,536.51,17.73560488,0,-4.183,,,,"American Mineralogist, Volume 58, pages 748-755,1973",1973,S. Ghose,Cubic,Fd3(bar)m,,,,,,
Spinel,https://materialsproject.org/materials/mp-3536/,,,,"O,O,O,O,O,O",[6],,,MgAl2O4,,2,,0,3.68,228.7289,0,-3.7043,540.11,13.90116737,0,-3.943,,,,10.1524/zkri.1962.117.16.63,1962,E. Brun,Cubic,Fd3(bar)m,,,,,,
Euclase,http://rruff.geo.arizona.edu/AMS/CIF_text_files/01094,,,,"O,O,O,O,O,O",[6],,,BeAlSiO4(OH),,4,,0.7,5.17,221.6307,0.1474,5.2695,549.23,4.187259016,0.86,5.123,,,,10.1139/p55-035,1955,R. G. Eades,Monoclinic,P2_1/a,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topaz,https://materialsproject.org/materials/mp-6280/#,,,,"O,O,O,O,O,O",[6],,,Al2SiO4F2,,0,,0.38,1.67,215.4227,0.837,-1.664,552.92,0.256960569,0.98,-1.666,,,,10.1063/1.1676856,1973,T. Tsang,Orthorhombic,Pbnm,,,,,,
Spodumene,https://materialsproject.org/materials/mp-6340/,,,,,[6],,,LiAl(SiO3)2,,2,,0.94,2.95,216.2357,0.7128,-2.3284,553.08,0.086541124,0.72,-2.524,,,,https://doi.org/10.1139/p53-074,1953,H.E. Petch,Monoclinic,C2/c,,,,,,
Beryl,https://materialsproject.org/materials/mp-6030/#,,,,"O,O,O,O,O,O",[6],,,Be3Al2(SiO3)6,,6,,0,3.09,212.7219,0,2.8776,555.54,-2.544309056,0,3.061,,,,https://doi.org/10.1063/1.1742603,1956,L.C. Brown,Hexagonal,P6/mcc,,,,,,
Epidote,https://materialsproject.org/materials/mp-743780/,,,,,[6],,,"Ca2Al2(Fe3, Al)(SiO4)(Si2O7)O(OH)",,4,,0.3,11.9,224.6787,0.327,-11.7761,896.49,-365.6868436,0.24,-10.62,,,,"Nuclear magnetic resonance of27AI in epidote, Ca 2Al2(Fe,Al)Si3O12(OH)",1973,T. Tsang,Orthorhombic,P2_1/m,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grossular,https://materialsproject.org/materials/mp-6008/,,,,,[6],,,Ca3Al2(SiO4)3,,12,,0,3.61,210.4179,0,2.7461,555.8,-2.810589438,0,2.828,,,,"American Mineralogist, Volume 58, pages 748-755,1973",1973,S. Ghose,,,,,,,,
Zoisite,https://materialsproject.org/materials/mp-23915/#,,,,"O,O,O,O,O,O",[6],,,Ca2Al3Si3HO13,,12,,0.46,8.05,223.2147,0.3419,-7.6515,545.36,8.309279339,0.31,-8.178,,,,https://doi.org/10.1063/1.1671911,1969,D. Brinkmann,Monoclinic,,,,,,,
Zoisite,https://materialsproject.org/materials/mp-23915/#,,,,"O,O,O,O,O,O",[6],,,Ca2Al3Si3HO13,,8,,0.16,18.5,222.2431,0.1506,-17.4148,546.57,7.020482287,0.15,-18.29,,,,https://doi.org/10.1063/1.1671911,1969,D. Brinkmann,Monoclinic,,,,,,,
Albite,https://materialsproject.org/materials/mp-721988/#,,,,,[4],,,NaAlSi3O8,,2,,0.62,3.29,268.3328,0.5018,-3.2863,492.07,65.06960569,0.63,-3.379,,,,"American Mineralogist, Volume 58, pages 748-755,1973",1973,S. Ghose,Triclinic,C1(bar),,,,,,
Cordierite,https://materialsproject.org/materials/mp-6174/#,,,,,,,,Mg2Al4Si5O18,,8,,0.38,10.6,274.2773,0.4265,9.6437,489.83,67.45547792,0.45,10.22,,,,https://doi.org/10.1063/1.1677700,1972,T. Tsang,Orthorhombic,Cccm,,,,,,
Cordierite,https://materialsproject.org/materials/mp-6174/#,,,,,,,,Mg2Al4Si5O18,,4,,0.34,5.6,256.7543,0.4155,-5.7216,508.08,48.01700999,0.42,-6.046,,,,https://doi.org/10.1063/1.1677700,1972,T. Tsang,Orthorhombic,Cccm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
